Id,Title,Slug,PublishedAt,Category,ImageUrl,Summary
225,Sự đời,su-oi-2,2015-08-30 08:52:04.000,Văn thơ,NULL,"  Có câu “Trâu lấm vẩy quanh”

“Voi đú chó cũng nhờn quanh” làm trò.

Thùng rỗng gõ nhẹ kêu to

Có vài gang tác so đo ngắn dài."
226,Trọng tình nghĩa,trong-tinh-nghia-2,2015-08-30 08:53:48.000,Văn thơ,NULL,"Cũng biết vì sao mới đói nghèo

Cố rồi mà cảnh vẫn reo neo

Sức tàn, lực kiệt không lưng vốn

Cắt bỏ một thời lại bám theo."
227,Hô gió gọi mưa,ho-gio-goi-mua-2,2015-08-30 08:55:36.000,Văn thơ,NULL,"Một thời ""Hô gió gọi mưa""

Đã từng ""thưa thớt ""đong đưa"" đôi điều.

Chữ nghĩa không cần biết nhiều

Chỉ cần ""biết điều"" ""hiểu ý"" cấp trên."
228,Vinh quy,vinh-quy-4,2015-08-30 08:57:35.000,Văn thơ,NULL,"Khen cho khéo học khéo đi thi

Cái gì cũng biết,

                         biết cái gì!"
229,Bạch cốt tinh,bach-cot-tinh-2,2015-08-30 08:58:57.000,Văn thơ,NULL,"Kiếp xưa mi cũng là người

Rắp tâm tu luyện ra loài yêu ma.

Giả nhân giả nghĩa cụ già

Thoắt thành thôn nữ nết na gợi tình."
230,Cậy thế,cay-the-2,2015-08-30 09:00:41.000,Văn thơ,NULL,"Gớm! trông cái mặt cũng dày mo

Chắc bố làm gì cũng to to

Cậy thế nói  bừa hay làm bậy

Tội vạ làm sao có bố lo."
231,MẸ CON BÉC LAI,me-con-bec-lai-2,2015-12-24 16:13:40.000,Văn thơ,NULL,"Ở bên nhà hàng xóm

Mấy mẹ con Béc Lai

Con trố mắt cụp tai

Con đốm đuôi, nhọ mõm.
"
232,TÂM ĐỊA TÊ QUY (TQ),tam-ia-te-quy-tq-2,2015-12-24 16:02:58.000,Văn thơ,NULL,"Cậy to, cậy khỏe, cậy đông

Gianh manh, xảo trá thì không ai bằng

Vẽ nhăng, vẽ cuội, nhận xằng

Lạ gì tâm địa cái dòng tê quy (TQ)"
233,Anh ơi!,anh-oi-2,2015-12-24 16:02:07.000,Văn thơ,NULL,"Giờ đây đã mất anh rồi

Đớn đau nức nở lệ rơi cõi lòng.

Còn ai để nhớ để mong

Cơm canh để nguội sầu đong vơi đầy.
"
238,NGÔI MỘ CHUNG,ngoi-mo-chung-2,2015-12-24 16:18:24.000,Văn thơ,NULL,"Tám mốt ngày đêm bom đạn xới nhào

Thành Quảng Trị đã là nơi thiên cổ

Thân thể của anh đâu nguyên một chỗ

Máu xương giờ không của riêng ai"
239,DIỆT DỐT,diet-dot-2,2015-12-24 16:20:11.000,Văn thơ,NULL,"Cũng như bộ đội cụ Hồ

Mũ cối, dép lốp, ba lô lên đường.

Mặt trận tận vùng biên cương

Doanh trại là những điểm trường bản xa."
240,LÝ THÔNG,ly-thong-2,2015-12-24 16:22:11.000,Văn thơ,NULL,"Lừa em nộp mạng thay mình

Thạch Sanh dũng mạnh - Trăn Tinh rơi đầu

Lý Thông quỷ kế mưau sâu

Cướp công mà được tước hầu vua ban"
241,AI,ai-2,2015-12-24 16:24:22.000,Văn thơ,NULL,"Ai đem thương nhớ đợi chờ

Để ai xao động mối tơ lòng"
242,ƯỚC GÌ,uoc-gi-2,2015-12-24 16:25:43.000,Văn thơ,NULL,"Ước gì có phép thần thông

Có gậy ""như ý"" sợ ông thằng nào!"
243,SỢI TƠ DUYÊN,soi-to-duyen-2,2015-12-24 16:43:51.000,Văn thơ,NULL,"Đã đành vướng víu sợi tơ duyên

Thôi đừng rũ rối gỡ cho phiền"
13,Giọt sương mai,giot-suong-mai,2015-08-30 08:50:09.000,Văn thơ,~/uploads/images (4).jpg145201582413.jpg,"Mặt trời lấp ló phía đồi đông

Giọt đọng sương mai lấp lánh hồng

Đính lên tà áo, vương trên tóc

Dát trên bờ váy, em gái Mông.
"
14,Xuống chợ,xuong-cho,2015-05-14 08:31:01.000,Văn thơ,~/uploads/xuong cho.jpg14520158311.jpg,"Cùng nhau xuống buổi chợ phiên

Mèn mén tháng cố rượu mềm môi cay

Đung đưa sóng váy ô xuay

Chân chao nhịp nhảy, đảo tay múa khèn

Sân khấu là góc chợ quen

Say sưa điệu nhảy trong men rượu nồng

Dập dìu như đôi chim công

Âm vang, rộn rã chật đông mé đồi

Tiếng khèn dìu dặt gọi mời"
15,Cột cờ lũng cú,cot-co-lung-cu,2015-05-14 08:25:36.000,Văn thơ,~/uploads/cot co lung cu.jpg145201582536.jpg,"Vững trên thế đứng đỉnh đầu Rồng

Mốc son lịch sử của non song

Lưng trời cờ đỏ bay phấp phới

Dựng xây gìn giữ thuở ông cha.
"
16,Cơn giông,con-giong,2015-05-14 08:28:45.000,Văn thơ,~/uploads/con giong.jpg145201582845.jpg,"Mây lang thang theo gió

Đậu trước cổng nhà trời

Bồng bềnh đám dong chơi

Lẩn vào trong hoa lá"
17,Ruộng bậc thang,ruong-bac-thang,2015-05-12 16:35:22.000,Văn thơ,~/uploads/images (3).jpg145201582612.jpg,"Thang kia chắc để lên trời?

Ruộng kia có phải của người trần gian

Cổng trời lồng lộng gió ngàn

Thang trời lơ lửng từng làn mây bay

Ruộng kia ai cấy ai cầy

Ai như em gái địu mây lên trời

Bồng bềnh lúc đầy lúc vơi"
18,Vinh Quy,vinh-quy,2015-05-11 15:07:58.000,Văn thơ,~/images/logo_www.png,"Khen ai khéo học khéo đi thi

Cái gì cũng biết,

                             Biết cái gì

Mỗi năm vài lớp rồi cũng đỗ

Bằng nọ, bằng kia, có kém chi"
19,Ruộng bậc thang,ruong-bac-thang-2,2015-05-14 08:26:12.000,Văn thơ,~/uploads/tải xuống (1).jpg1252015163522.jpg,"Ai khoanh trái núi làm thang

Mang ruộng ở dưới đặt ngang lưng đồi

Xếp vòng quanh núi quanh đồi

Dựng thành tháp lúa giữa nơi non ngàn"
20,Cháu nội,chau-noi,2015-05-11 15:06:53.000,Văn thơ,~/images/logo_www.png,"Cháu gái có tên Diệu Linh

Tóc đen, da trắng xinh xinh miệng cười

Hồn nhiên nhí nhảnh vui tươi

Chăm ngoan học giỏi mọi người yêu thương

Điểm chín Linh coi bình thường

Điểm mười cương quyết không nhường cho ai"
21,Không ngủ,khong-ngu,2015-05-14 08:26:57.000,Văn thơ,~/images/logo_www.png,"Năm canh rồi thao thức

Cùng trăng khuyết đêm thâu

Lơ đãng nhìn về đâu

Cõi lòng sao cô quạnh."
22,Mua ghế,mua-ghe,2015-05-11 15:05:45.000,Văn thơ,~/images/logo_www.png,"Mọt thì không mọt cũng lung lay

Đinh to, đinh nhỏ, đóng cho dày

Vơ thêm ít nữa mua ghế khác

Kha khá lên rồi lại tính thay."
23,Xuân trên đá,xuan-tren-a,2015-05-14 08:20:13.000,Văn thơ,~/uploads/tải xuống.jpg145201582013.jpg,"Cao nguyên đá thật phong tình

Dòng sông Nho Quế ẩn mình sương sa

Mênh mông đá, lác đác nhà

Trắng hoa bạc hà, tim tím hương nhu"
24,Mưa ngâu,mua-ngau,2015-05-14 08:27:40.000,Văn thơ,~/uploads/mua ngau.jpg145201582740.jpg,"Buồn tênh cái cảnh mưa ngâu

Dở vui, dở khóc, dở sầu chia li

Sụt sùi, nức nở, rầm rì

Rồi mai gặp lại có gì thở than"
25,Mất anh rồi,mat-anh-roi,2015-12-26 21:01:26.000,Văn thơ,~/uploads/2003.JPG2412201517832.jpg,"Lúc anh vừa ngã bệnh,

Em cứ tưởng qua loa,

Đi lo việc của nhà,

Để bệnh anh thêm nặng."
26,Giới thiệu về các tác phẩm thơ của ông Dương Tiến Sy,gioi-thieu-ve-cac-tac-pham-tho-cua-ong-duong-tien-sy,2016-03-03 10:32:44.000,Văn thơ,~/uploads/10730978_1485774645044365_7108750825047428881_n.jpg1192015104637.jpg,"Dòng họ Dương Văn có rất nhiều nhân tài ở các lĩnh vực khác nhau, song về văn học nghệ thuật mới chỉ phát hiện dòng thơ của ông Dương Tiến Sy. Ông Dương Tiến Sy sinh năm 1949 tại thôn Dương Hồi, xã Yên Thắng, huyện Ý Yên, tỉnh Nam Định. Ông là giáo viên, khi tuổi ngoài 60 mới dành chút thời gian cho thơ ca. Những tác phẩm thơ của ông mang nặng chữ tình, tinh tế, mộc mạc nhưng thật sâu xa, thật đầm ấm, rất nhân văn được phản ảnh trong thực tiễn hàng ngày..."
7,Quê hương,que-huong,2016-02-19 17:10:44.000,Văn thơ,~/uploads/quehuong.jpg1352015155429.jpg,"Xa quê mấy chục năm rồi

Trở về bồi hồi nhớ kỷ niệm xưa

Những ngày dầu dãi nắng mưa

Mò cua bắt ốc sớm trưa nhọc nhằn"
8,Ông giáo già,ong-giao-gia,2015-12-26 21:02:40.000,Văn thơ,~/uploads/10559778_1429131207375376_2045959939160989918_n.jpg24122015164641.jpg,"Xa trường, xa lớp đã lâu

Nhớ lại năm xưa buổi ban đầu

Ngày vui ríu rít đàn em nhỏ

Chong đèn giáo án soạn đêm thâu"
9,Cổng trời,cong-troi,2015-06-19 20:24:28.000,Văn thơ,~/uploads/cong troi.jpg145201582222.jpg,"Qua dốc “ chín khoanh ” tới cổng trời

Gió ngàn lồng lộng áng mây trôi

Trời xanh, xanh ngắt, cao vời vợi

Nắng trải mênh mông, núi, núi đồi.
"
10,Đường tới bản Mèo,uong-toi-ban-meo,2015-05-14 08:23:19.000,Văn thơ,~/uploads/images (8).jpg145201582319.jpg,"0Có phải đường kia tới Bản Mèo

Vắt ngang sườn núi đá cheo leo

Mây giăng, giăng lối sương mờ ảo

Thấp thoáng bóng ai giữa lưng đèo"
63,Lên Đồng Văn,len-ong-van,2015-08-28 17:28:49.000,Văn thơ,~/uploads/ogo_www.png,"Ta lên, lên tận thượng ngàn

Lối nghiêng vách đá, gió đàn, thông ca.

Cổng trời ngực nữ tiên sa

Thang trời lơ lửng là là mây bay."
64,Sông Lô,song-lo,2015-08-28 17:31:03.000,Văn thơ,~/images/logo_www.png,"Sông Lô có từ bao giờ
Khi trong, khi đục đôi bờ cây xanh
Chắn mưa sa, giữ bờ thành
Long lanh đáy nước trong xanh mây trời
"
65,Xuân,xuan,2015-08-28 17:32:50.000,Văn thơ,~/images/logo_www.png,"Cao Nguyên Đá thật phong tình

Dòng sông Nho Quế ẩn mình sương sa.

Mênh mông đá lác đác nhà

Trắng hoa Bạc Hà tim tím Hương Nhu"
66,Gót chân diệu kỳ,got-chan-dieu-ky,2015-12-24 15:55:06.000,Văn thơ,~/uploads/ogo_www.png,"Miệng ngọng ngẹo, chân tay co quắp

Mà gót chân linh hoạt đến diệu kỳ

Điện thoại để bàn, máy tính, ti vi

Rà bàn phím tìm chương trình bằng gót."
67,Thăm Thành Quảng Trị,tham-thanh-quang-tri,2015-08-28 17:37:03.000,Văn thơ,~/images/logo_www.png,"Tám mốt ngày đêm bom đạn xới nhào

Thành Quảng Trị đã là nơi thiên cổ

Thân thể của anh đâu nguyên một chỗ

Máu xương giờ không của riêng ai"
68,Thú vui chơi mộc,thu-vui-choi-moc,2015-12-24 15:57:58.000,Văn thơ,~/uploads/ogo_www.png,"Thân lụi tàn bởi tạo hóa vần xoay

Gốc vẫn ở trong lòng đất mẹ

Năm tháng dài tẩy trần sạch sẽ

Hóa thân thành dáng thế sinh linh."
69,MẸ TÔI,me-toi,2015-12-24 16:04:10.000,Văn thơ,~/uploads/ogo_www.png,"Con biết mẹ đau xót

Thương con gái tật nguyền

Bố đau yếu liên miên

Mẹ sớm hôm cực nhọc."
70,Không ngủ,khong-ngu-2,2015-08-28 17:42:16.000,Văn thơ,~/images/logo_www.png,"Năm canh dài thao thức

Cùng trăng khuyết đêm thâu

Lơ đãng nhìn về đâu

Cõi lòng sao cô quạnh."
71,THÀNH PHỐ TRẺ VÀO XUÂN,thanh-pho-tre-vao-xuan,2015-12-24 16:09:32.000,Văn thơ,~/uploads/ogo_www.png,"Rồng vàng bay lượn trong mây

Mừng thành phố trẻ tràn đầy sức xuân

Quảng trường đường phố trước sân

Cúc vàng cạnh đào Nhật Tân thắm hồng"
72,NHỊP CẦU BẮC DỞ,nhip-cau-bac-do,2015-12-24 16:08:30.000,Văn thơ,~/uploads/ogo_www.png,"Nếu còn có chuyến đò ngang

Muộn anh cũng đợi, anh sang bên bờ

Bấy lâu anh đợi anh chờ

Nhịp cầu bắc dở mãi giờ chưa xong."
73,NẾU ANH ĐỪNG VỀ QUÊ,neu-anh-ung-ve-que,2015-12-24 16:07:32.000,Văn thơ,~/uploads/ogo_www.png,"Nếu anh đừng về quê

Thì em đâu có biết

  Đừng nói lời tha thiết

Thì em đâu đợi chờ"
74,ANH EM HỌ DƯƠNG,anh-em-ho-duong,2015-12-24 16:06:01.000,Văn thơ,~/uploads/ogo_www.png,"Sinh ra trong cảnh bần hàn

Đói cơm rách áo, cơ hàn lắm thay

Mò của, nhặt, mót tối ngày

Thân gầy, da sạm, chân tay trai sần"
75,Tặng cháu Diệu Linh,tang-chau-dieu-linh,2015-08-30 08:42:12.000,Văn thơ,~/images/logo_www.png,"Cháu gái có tên Diệu Linh

Tóc đen, da trắng xinh xinh miệng cười

Hồn nhiên nhí nhảnh vui tươi

Chăm ngoan học giỏi mọi người yêu thương"
76,Ngã ba Đồng Lộc,nga-ba-ong-loc,2015-08-30 08:44:38.000,Văn thơ,~/images/logo_www.png,"Bông hoa huệ trắng trong tinh khiết

Nén nhang trầm không bỏ mặc thời gian

Các chị nằm đây giữa non ngàn

Trong giấc ngủ của ngàn thu vời vợi"
77,Biết về anh,biet-ve-anh,2015-12-24 15:59:29.000,Văn thơ,~/uploads/ogo_www.png,"Người dũng sĩ năm xưa

Xông pha khắp chiến trường

Vì đất nước quê hương

Hy sinh niềm hạnh phúc."
78,Sự đời,su-oi,2015-08-30 08:52:04.000,Văn thơ,~/images/logo_www.png,"Có câu “Trâu lấm vẩy quanh”

“Voi đú chó cũng nhờn quanh” làm trò.

Thùng rỗng gõ nhẹ kêu to

Có vài gang tác so đo ngắn dài."
79,Trọng tình nghĩa,trong-tinh-nghia,2015-08-30 08:53:48.000,Văn thơ,~/images/logo_www.png,"Cũng biết vì sao mới đói nghèo

Cố rồi mà cảnh vẫn reo neo

Sức tàn, lực kiệt không lưng vốn

Cắt bỏ một thời lại bám theo."
80,Hô gió gọi mưa,ho-gio-goi-mua,2015-08-30 08:55:36.000,Văn thơ,~/images/logo_www.png,"Một thời ""Hô gió gọi mưa""

Đã từng ""thưa thớt ""đong đưa"" đôi điều.

Chữ nghĩa không cần biết nhiều

Chỉ cần ""biết điều"" ""hiểu ý"" cấp trên."
81,Vinh quy,vinh-quy-2,2015-08-30 08:57:35.000,Văn thơ,~/images/logo_www.png,"Khen cho khéo học khéo đi thi

Cái gì cũng biết,

                         biết cái gì!"
82,Bạch cốt tinh,bach-cot-tinh,2015-08-30 08:58:57.000,Văn thơ,~/images/logo_www.png,"Kiếp xưa mi cũng là người

Rắp tâm tu luyện ra loài yêu ma.

Giả nhân giả nghĩa cụ già

Thoắt thành thôn nữ nết na gợi tình."
83,Cậy thế,cay-the,2015-08-30 09:00:41.000,Văn thơ,~/images/logo_www.png,"Gớm! trông cái mặt cũng dày mo

Chắc bố làm gì cũng to to

Cậy thế nói  bừa hay làm bậy

Tội vạ làm sao có bố lo."
84,MẸ CON BÉC LAI,me-con-bec-lai,2015-12-24 16:13:40.000,Văn thơ,~/uploads/ogo_www.png,"Ở bên nhà hàng xóm

Mấy mẹ con Béc Lai

Con trố mắt cụp tai

Con đốm đuôi, nhọ mõm.
"
85,TÂM ĐỊA TÊ QUY (TQ),tam-ia-te-quy-tq,2015-12-24 16:02:58.000,Văn thơ,~/uploads/ogo_www.png,"Cậy to, cậy khỏe, cậy đông

Gianh manh, xảo trá thì không ai bằng

Vẽ nhăng, vẽ cuội, nhận xằng

Lạ gì tâm địa cái dòng tê quy (TQ)"
86,Anh ơi!,anh-oi,2015-12-24 16:02:07.000,Văn thơ,~/uploads/ogo_www.png,"Giờ đây đã mất anh rồi

Đớn đau nức nở lệ rơi cõi lòng.

Còn ai để nhớ để mong

Cơm canh để nguội sầu đong vơi đầy.
"
49,Cây Nhội bên nhà,cay-nhoi-ben-nha,2015-05-14 08:28:23.000,Văn thơ,~/uploads/cay nhoi.jpg145201582823.jpg,"Gốc rễ ở chốn quê nhà

Gặp người tri kỷ mới ra thị thành

Bạc đầu tôn bác làm anh

Mẹ không nhớ tuổi nên đành xưng em
"
91,NGÔI MỘ CHUNG,ngoi-mo-chung,2015-12-24 16:18:24.000,Văn thơ,~/images/logo_www.png,"Tám mốt ngày đêm bom đạn xới nhào

Thành Quảng Trị đã là nơi thiên cổ

Thân thể của anh đâu nguyên một chỗ

Máu xương giờ không của riêng ai"
92,DIỆT DỐT,diet-dot,2015-12-24 16:20:11.000,Văn thơ,~/images/logo_www.png,"Cũng như bộ đội cụ Hồ

Mũ cối, dép lốp, ba lô lên đường.

Mặt trận tận vùng biên cương

Doanh trại là những điểm trường bản xa."
93,LÝ THÔNG,ly-thong,2015-12-24 16:22:11.000,Văn thơ,~/images/logo_www.png,"Lừa em nộp mạng thay mình

Thạch Sanh dũng mạnh - Trăn Tinh rơi đầu

Lý Thông quỷ kế mưau sâu

Cướp công mà được tước hầu vua ban"
94,AI,ai,2015-12-24 16:24:22.000,Văn thơ,~/images/logo_www.png,"Ai đem thương nhớ đợi chờ

Để ai xao động mối tơ lòng"
95,ƯỚC GÌ,uoc-gi,2015-12-24 16:25:43.000,Văn thơ,~/images/logo_www.png,"Ước gì có phép thần thông

Có gậy ""như ý"" sợ ông thằng nào!"
96,SỢI TƠ DUYÊN,soi-to-duyen,2015-12-24 16:43:51.000,Văn thơ,~/uploads/tơ duyên.jpg24122015164351.jpg,"Đã đành vướng víu sợi tơ duyên

Thôi đừng rũ rối gỡ cho phiền"
160,Giọt sương mai,giot-suong-mai-2,2015-08-30 08:50:09.000,Văn thơ,NULL,"Mặt trời lấp ló phía đồi đông

Giọt đọng sương mai lấp lánh hồng

Đính lên tà áo, vương trên tóc

Dát trên bờ váy, em gái Mông.
"
161,Xuống chợ,xuong-cho-2,2015-05-14 08:31:01.000,Văn thơ,NULL,"Cùng nhau xuống buổi chợ phiên

Mèn mén tháng cố rượu mềm môi cay

Đung đưa sóng váy ô xuay

Chân chao nhịp nhảy, đảo tay múa khèn

Sân khấu là góc chợ quen

Say sưa điệu nhảy trong men rượu nồng

Dập dìu như đôi chim công

Âm vang, rộn rã chật đông mé đồi

Tiếng khèn dìu dặt gọi mời"
162,Cột cờ lũng cú,cot-co-lung-cu-2,2015-05-14 08:25:36.000,Văn thơ,NULL,"Vững trên thế đứng đỉnh đầu Rồng

Mốc son lịch sử của non song

Lưng trời cờ đỏ bay phấp phới

Dựng xây gìn giữ thuở ông cha.
"
163,Cơn giông,con-giong-2,2015-05-14 08:28:45.000,Văn thơ,NULL,"Mây lang thang theo gió

Đậu trước cổng nhà trời

Bồng bềnh đám dong chơi

Lẩn vào trong hoa lá"
164,Ruộng bậc thang,ruong-bac-thang-3,2015-05-12 16:35:22.000,Văn thơ,NULL,"Thang kia chắc để lên trời?

Ruộng kia có phải của người trần gian

Cổng trời lồng lộng gió ngàn

Thang trời lơ lửng từng làn mây bay

Ruộng kia ai cấy ai cầy

Ai như em gái địu mây lên trời

Bồng bềnh lúc đầy lúc vơi"
165,Vinh Quy,vinh-quy-3,2015-05-11 15:07:58.000,Văn thơ,NULL,"Khen ai khéo học khéo đi thi

Cái gì cũng biết,

                             Biết cái gì

Mỗi năm vài lớp rồi cũng đỗ

Bằng nọ, bằng kia, có kém chi"
166,Ruộng bậc thang,ruong-bac-thang-4,2015-05-14 08:26:12.000,Văn thơ,NULL,"Ai khoanh trái núi làm thang

Mang ruộng ở dưới đặt ngang lưng đồi

Xếp vòng quanh núi quanh đồi

Dựng thành tháp lúa giữa nơi non ngàn"
167,Cháu nội,chau-noi-2,2015-05-11 15:06:53.000,Văn thơ,NULL,"Cháu gái có tên Diệu Linh

Tóc đen, da trắng xinh xinh miệng cười

Hồn nhiên nhí nhảnh vui tươi

Chăm ngoan học giỏi mọi người yêu thương

Điểm chín Linh coi bình thường

Điểm mười cương quyết không nhường cho ai"
168,Không ngủ,khong-ngu-3,2015-05-14 08:26:57.000,Văn thơ,NULL,"Năm canh rồi thao thức

Cùng trăng khuyết đêm thâu

Lơ đãng nhìn về đâu

Cõi lòng sao cô quạnh."
169,Mua ghế,mua-ghe-2,2015-05-11 15:05:45.000,Văn thơ,NULL,"Mọt thì không mọt cũng lung lay

Đinh to, đinh nhỏ, đóng cho dày

Vơ thêm ít nữa mua ghế khác

Kha khá lên rồi lại tính thay."
170,Xuân trên đá,xuan-tren-a-2,2015-05-14 08:20:13.000,Văn thơ,NULL,"Cao nguyên đá thật phong tình

Dòng sông Nho Quế ẩn mình sương sa

Mênh mông đá, lác đác nhà

Trắng hoa bạc hà, tim tím hương nhu"
171,Mưa ngâu,mua-ngau-2,2015-05-14 08:27:40.000,Văn thơ,NULL,"Buồn tênh cái cảnh mưa ngâu

Dở vui, dở khóc, dở sầu chia li

Sụt sùi, nức nở, rầm rì

Rồi mai gặp lại có gì thở than"
172,Mất anh rồi,mat-anh-roi-2,2015-12-26 21:01:26.000,Văn thơ,NULL,"Lúc anh vừa ngã bệnh,

Em cứ tưởng qua loa,

Đi lo việc của nhà,

Để bệnh anh thêm nặng."
173,Giới thiệu về các tác phẩm thơ của ông Dương Tiến Sy,gioi-thieu-ve-cac-tac-pham-tho-cua-ong-duong-tien-sy-2,2016-03-03 10:32:44.000,Văn thơ,NULL," Dòng họ Dương Văn có rất nhiều nhân tài ở các lĩnh vực khác nhau, song về văn học nghệ thuật mới chỉ phát hiện dòng thơ của ông Dương Tiến Sy. Ông Dương Tiến Sy sinh năm 1949 tại thôn Dương Hồi, xã Yên Thắng, huyện Ý Yên, tỉnh Nam Định. Ông là giáo viên, khi tuổi ngoài 60 mới dành chút thời gian cho thơ ca. Những tác phẩm thơ của ông mang nặng chữ tình, tinh tế, mộc mạc nhưng thật sâu xa, thật đầm ấm, rất nhân văn được phản ảnh trong thực tiễn hàng ngày..."
